;; ;;;;;;;;;;;;;;;
;; ;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;Demonstrativo Mensal das Incidências Criminais 2016 - Estupro    ;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;Áreas   \   Períodos;;M         E          S          E          S;;;;;;;;;;;;TOTAL;;
;UOp;UNIDADES POLICIAIS;JAN ;FEV;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ;;;
;5º BPM;001a- Praça Mauá;-;-;-;-;1;-;-;-;1;1;-;-; 3 ;;
;5º BPM;004a- Praça da República;2;3;1;-;-;1;1;-;2;1;2;-; 13 ;;
;5º BPM;005a- Mem de Sá;2;1;2;5;3;-;2;3;4;4;4;2; 32 ;;
;4º BPM;006a- Cidade Nova;7;4;3;2;4;-;1;5;4;-;1;1; 32 ;;
;5º BPM;007a- Santa Tereza;-;-;2;-;1;-;-;-;-;1;4;-; 8 ;;
;2º BPM;009a- Catete;3;1;3;2;1;1;1;4;2;3;3;1; 25 ;;
;2º BPM;010a- Botafogo;3;1;2;2;1;1;1;-;-;1;2;2; 16 ;;
;23º BPM;011a- Rocinha;2;3;-;1;-;1;-;-;4;1;1;2; 15 ;;
;19º BPM;012a- Copacabana;4;1;2;1;3;-;1;1;4;1;2;1; 21 ;;
;19º BPM;013a- Ipanema;1;1;-;-;-;1;1;5;1;1;-;2; 13 ;;
;23º BPM;014a- Leblon;-;-;-;-;1;2;2;2;1;-;1;-; 9 ;;
;23º BPM;015a- Gávea;-;2;-;1;-;2;1;-;-;1;-;-; 7 ;;
;31º BPM;016a- Barra da Tijuca;3;1;2;8;8;5;6;7;3;2;-;5; 50 ;;
;4º BPM;017a- São Cristóvão;4;1;1;2;3;11;1;-;1;2;2;1; 29 ;;
;4º BPM;018a- Praça da Bandeira;1;2;1;4;-;-;-;-;-;1;1;2; 12 ;;
;6º BPM;019a- Tijuca;1;2;2;1;-;1;2;2;1;1;-;2; 15 ;;
;6º BPM;020a- Grajaú;3;3;3;-;1;3;1;-;3;1;2;1; 21 ;;
;22º BPM;021a- Bonsucesso;8;4;4;4;3;-;4;3;8;2;13;7; 60 ;;
;16º BPM;022a- Penha;5;3;1;4;2;3;3;-;1;2;2;4; 30 ;;
;3º BPM;023a- Meier;2;1;3;-;-;-;2;1;-;2;1;1; 13 ;;
;3º BPM;024a- Piedade;2;2;-;2;1;-;-;3;2;1;4;2; 19 ;;
;3º BPM;025a- Engenho Novo;1;1;-;2;4;1;4;2;5;3;1;1; 25 ;;
;3º BPM;026a- Todos os Santos;3;2;4;-;1;2;-;3;2;1;3;-; 21 ;;
;41º BPM;027a- Vicente de Carvalho;4;2;2;1;1;-;-;2;-;3;2;1; 18 ;;
;9º BPM;028a- Campinho;8;6;2;4;2;-;9;3;2;5;5;1; 47 ;;
;9º BPM;029a- Madureira;-;2;2;1;2;1;4;2;1;4;1;7; 27 ;;
;9º BPM;030a- Marechal Hermes;2;-;6;2;-;2;4;3;-;2;3;1; 25 ;;
;41º BPM;031a- Ricardo Albuquerque;4;2;5;4;2;1;2;6;5;-;4;1; 36 ;;
