;; ;;;;;;;;;;;;;;
;; ;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;Demonstrativo Mensal das Incidências Criminais 2016 - Registro de Ocorrência;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;Áreas   \   Períodos;;M         E          S          E          S;;;;;;;;;;;;TOTAL;
;UOp;UNIDADES POLICIAIS;JAN ;FEV;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ;;
;5º BPM;001a. Praça Mauá; 414 ; 650 ; 339 ; 356 ; 404 ; 341 ; 486 ; 687 ; 522 ; 494 ; 510 ; 630 ;5.833;
;5º BPM;004a. Praça da República; 1.055 ; 1.186 ; 1.094 ; 923 ; 880 ; 982 ; 973 ; 1.231 ; 1.049 ; 846 ; 877 ; 792 ; 11.888 ;
;5º BPM;005a. Mem de Sá ; 1.278 ; 1.758 ; 1.060 ; 1.138 ; 1.105 ; 1.002 ; 1.214 ; 1.750 ; 1.229 ; 1.184 ; 1.109 ; 1.170 ; 14.997 ;
;4º BPM;006a. Cidade Nova; 600 ; 708 ; 600 ; 528 ; 590 ; 608 ; 609 ; 566 ; 603 ; 717 ; 596 ; 576 ; 7.301 ;
;5º BPM;007a. Santa Tereza; 224 ; 317 ; 213 ; 167 ; 204 ; 203 ; 184 ; 182 ; 192 ; 197 ; 199 ; 196 ; 2.478 ;
;2º BPM;009a. Catete; 928 ; 953 ; 766 ; 714 ; 715 ; 748 ; 772 ; 834 ; 723 ; 783 ; 687 ; 725 ; 9.348 ;
;2º BPM;010a. Botafogo; 654 ; 764 ; 714 ; 704 ; 693 ; 696 ; 685 ; 795 ; 698 ; 728 ; 658 ; 733 ; 8.522 ;
;23º BPM;011a. Rocinha; 123 ; 114 ; 105 ; 139 ; 145 ; 151 ; 158 ; 158 ; 170 ; 223 ; 124 ; 117 ; 1.727 ;
;19º BPM;012a. Copacabana; 1.545 ; 1.285 ; 916 ; 891 ; 813 ; 738 ; 801 ; 1.463 ; 855 ; 891 ; 773 ; 1.029 ; 12.000 ;
;19º BPM;013a. Ipanema; 515 ; 663 ; 386 ; 374 ; 386 ; 376 ; 399 ; 573 ; 403 ; 446 ; 414 ; 473 ; 5.408 ;
;23º BPM;014a. Leblon; 1.118 ; 1.888 ; 675 ; 808 ; 681 ; 601 ; 708 ; 1.058 ; 683 ; 766 ; 727 ; 861 ; 10.574 ;
;23º BPM;015a. Gávea; 386 ; 378 ; 338 ; 293 ; 297 ; 315 ; 296 ; 356 ; 296 ; 302 ; 288 ; 280 ; 3.825 ;
;31º BPM;016a. Barra da Tijuca; 1.187 ; 1.172 ; 1.167 ; 1.123 ; 1.107 ; 1.147 ; 1.043 ; 1.271 ; 1.229 ; 1.045 ; 1.163 ; 1.081 ; 13.735 ;
;4º BPM;017a. São Cristóvão; 811 ; 713 ; 803 ; 779 ; 731 ; 687 ; 653 ; 690 ; 683 ; 689 ; 720 ; 659 ; 8.618 ;
;4º BPM;018a. Praça da Bandeira; 555 ; 617 ; 722 ; 562 ; 655 ; 635 ; 605 ; 684 ; 546 ; 697 ; 687 ; 659 ; 7.624 ;
