AISP;DP;JAN;FEV;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ;TOTAL
5;001;-;-;-;-;1;-;-;-;-;-;-;-;1
5;004;2;3;1;-;-;-;-;-;-;-;-;-;6
5;005;2;1;2;5;3;-;-;-;-;-;-;-;13
4;006;7;4;3;2;4;-;-;-;-;-;-;-;20
5;007;-;-;2;-;1;-;-;-;-;-;-;-;3
2;009;3;1;3;2;1;-;-;-;-;-;-;-;10
2;010;3;1;2;2;1;-;-;-;-;-;-;-;9
23;011;2;3;-;1;-;-;-;-;-;-;-;-;6
19;012;3;1;2;1;3;-;-;-;-;-;-;-;10
19;013;1;1;-;-;-;-;-;-;-;-;-;-;2
23;014;-;-;-;-;1;-;-;-;-;-;-;-;1
23;015;-;2;-;1;-;-;-;-;-;-;-;-;3
31;016;3;1;2;8;8;-;-;-;-;-;-;-;22
4;017;4;1;1;2;3;-;-;-;-;-;-;-;11
4;018;1;2;1;4;-;-;-;-;-;-;-;-;8
6;019;1;2;2;1;-;-;-;-;-;-;-;-;6
6;020;3;3;3;-;1;-;-;-;-;-;-;-;10
22;021;8;4;4;4;3;-;-;-;-;-;-;-;23
16;022;5;3;1;4;2;-;-;-;-;-;-;-;15
3;023;2;1;3;-;-;-;-;-;-;-;-;-;6
3;024;2;2;-;2;1;-;-;-;-;-;-;-;7
3;025;1;1;-;2;4;-;-;-;-;-;-;-;8
3;026;3;2;4;-;1;-;-;-;-;-;-;-;10
41;027;4;1;2;1;1;-;-;-;-;-;-;-;9
9;028;8;6;2;4;2;-;-;-;-;-;-;-;22
9;029;-;2;2;1;2;-;-;-;-;-;-;-;7
9;030;2;-;6;2;-;-;-;-;-;-;-;-;10
41;031;4;2;5;4;2;-;-;-;-;-;-;-;17
18;032;10;14;8;9;5;-;-;-;-;-;-;-;46
14;033;6;3;2;3;5;-;-;-;-;-;-;-;19
14;034;5;8;10;10;5;-;-;-;-;-;-;-;38
40;035;19;9;13;12;15;-;-;-;-;-;-;-;68
27;036;10;6;9;10;17;-;-;-;-;-;-;-;52
17;037;5;1;4;2;3;-;-;-;-;-;-;-;15
16;038;7;3;3;4;1;-;-;-;-;-;-;-;18
41;039;4;2;5;2;3;-;-;-;-;-;-;-;16
9;040;7;-;2;1;4;-;-;-;-;-;-;-;14
18;041;3;-;1;3;2;-;-;-;-;-;-;-;9
31;042;5;1;1;2;4;-;-;-;-;-;-;-;13
27;043;9;5;9;4;5;-;-;-;-;-;-;-;32
3;044;-;-;4;1;1;-;-;-;-;-;-;-;6
16;045;-;1;-;-;-;-;-;-;-;-;-;-;1
24;048;1;1;5;1;-;-;-;-;-;-;-;-;8
24;050;7;-;4;2;7;-;-;-;-;-;-;-;20
24;051;-;1;-;1;-;-;-;-;-;-;-;-;2
20;052;5;5;-;3;3;-;-;-;-;-;-;-;16
20;053;5;4;4;13;6;-;-;-;-;-;-;-;32
39;054;8;7;11;9;12;-;-;-;-;-;-;-;47
24;055;2;5;5;5;3;-;-;-;-;-;-;-;20
20;056;3;6;6;3;12;-;-;-;-;-;-;-;30
20;057;9;4;3;4;1;-;-;-;-;-;-;-;21
20;058;11;13;13;17;17;-;-;-;-;-;-;-;71
15;059;10;7;10;10;13;-;-;-;-;-;-;-;50
15;060;4;4;9;4;7;-;-;-;-;-;-;-;28
15;061;3;-;-;2;3;-;-;-;-;-;-;-;8
15;062;2;-;2;1;3;-;-;-;-;-;-;-;8
24;063;6;7;1;1;2;-;-;-;-;-;-;-;17
21;064;14;7;8;12;14;-;-;-;-;-;-;-;55
34;065;4;1;4;2;1;-;-;-;-;-;-;-;12
34;066;5;6;3;3;3;-;-;-;-;-;-;-;20
34;067;1;2;3;-;1;-;-;-;-;-;-;-;7
35;070;2;2;1;-;-;-;-;-;-;-;-;-;5
35;071;7;11;2;8;7;-;-;-;-;-;-;-;35
7;072;2;4;5;3;3;-;-;-;-;-;-;-;17
7;073;3;4;5;2;1;-;-;-;-;-;-;-;15
7;074;6;5;6;7;4;-;-;-;-;-;-;-;28
7;075;5;3;5;4;1;-;-;-;-;-;-;-;18
12;076;3;3;3;3;2;-;-;-;-;-;-;-;14
12;077;3;-;1;1;2;-;-;-;-;-;-;-;7
12;078;3;4;2;5;4;-;-;-;-;-;-;-;18
12;079;-;1;-;2;1;-;-;-;-;-;-;-;4
12;081;1;-;2;2;2;-;-;-;-;-;-;-;7
12;082;7;9;6;6;1;-;-;-;-;-;-;-;29
10;087;-;-;-;-;-;-;-;-;-;-;-;-;-
10;088;2;4;3;1;2;-;-;-;-;-;-;-;12
37;089;8;-;2;3;1;-;-;-;-;-;-;-;14
28;090;3;-;2;2;1;-;-;-;-;-;-;-;8
10;091;-;2;2;1;2;-;-;-;-;-;-;-;7
10;092;-;-;-;-;-;-;-;-;-;-;-;-;-
28;093;5;1;3;5;4;-;-;-;-;-;-;-;18
10;094;2;2;-;-;4;-;-;-;-;-;-;-;8
10;095;-;-;4;-;-;-;-;-;-;-;-;-;4
10;096;2;1;1;1;-;-;-;-;-;-;-;-;5
10;097;-;1;3;1;-;-;-;-;-;-;-;-;5
10;098;1;2;-;1;3;-;-;-;-;-;-;-;7
37;099;1;-;-;1;2;-;-;-;-;-;-;-;4
37;100;-;-;-;-;-;-;-;-;-;-;-;-;-
28;101;1;-;1;2;1;-;-;-;-;-;-;-;5
30;104;-;-;-;1;1;-;-;-;-;-;-;-;2
26;105;3;6;4;4;5;-;-;-;-;-;-;-;22
26;106;1;1;1;1;-;-;-;-;-;-;-;-;4
38;107;1;1;2;1;-;-;-;-;-;-;-;-;5
38;108;3;3;3;2;6;-;-;-;-;-;-;-;17
38;109;1;1;1;-;-;-;-;-;-;-;-;-;3
30;110;1;6;7;9;13;-;-;-;-;-;-;-;36
30;111;1;-;-;1;-;-;-;-;-;-;-;-;2
30;112;-;1;1;-;-;-;-;-;-;-;-;-;2
25;118;3;5;4;6;3;-;-;-;-;-;-;-;21
35;119;1;-;2;2;1;-;-;-;-;-;-;-;6
35;120;-;-;-;-;-;-;-;-;-;-;-;-;-
32;121;1;2;1;3;-;-;-;-;-;-;-;-;7
32;122;-;3;-;-;-;-;-;-;-;-;-;-;3
32;123;4;3;2;7;6;-;-;-;-;-;-;-;22
25;124;4;1;-;2;3;-;-;-;-;-;-;-;10
25;125;2;5;5;-;2;-;-;-;-;-;-;-;14
25;126;3;9;13;73;14;-;-;-;-;-;-;-;112
25;127;-;1;-;-;-;-;-;-;-;-;-;-;1
32;128;5;2;11;8;8;-;-;-;-;-;-;-;34
25;129;2;-;-;-;-;-;-;-;-;-;-;-;2
32;130;2;1;1;2;2;-;-;-;-;-;-;-;8
25;132;1;-;-;1;4;-;-;-;-;-;-;-;6
8;134;4;7;12;10;4;-;-;-;-;-;-;-;37
36;135;1;-;-;-;-;-;-;-;-;-;-;-;1
36;136;-;2;-;1;1;-;-;-;-;-;-;-;4
36;137;1;1;1;-;-;-;-;-;-;-;-;-;3
29;138;-;-;1;-;2;-;-;-;-;-;-;-;3
29;139;-;1;2;-;-;-;-;-;-;-;-;-;3
29;140;-;2;1;-;1;-;-;-;-;-;-;-;4
8;141;1;-;-;-;2;-;-;-;-;-;-;-;3
36;142;-;-;1;-;-;-;-;-;-;-;-;-;1
29;143;4;2;3;1;-;-;-;-;-;-;-;-;10
29;144;1;1;-;-;4;-;-;-;-;-;-;-;6
8;145;1;1;2;-;3;-;-;-;-;-;-;-;7
8;146;6;5;7;9;2;-;-;-;-;-;-;-;29
8;147;1;1;1;1;1;-;-;-;-;-;-;-;5
29;148;-;1;-;-;-;-;-;-;-;-;-;-;1
11;151;6;3;2;6;2;-;-;-;-;-;-;-;19
11;152;-;1;-;-;-;-;-;-;-;-;-;-;1
11;153;-;1;1;-;1;-;-;-;-;-;-;-;3
11;154;-;-;-;-;-;-;-;-;-;-;-;-;-
36;155;-;-;1;-;-;-;-;-;-;-;-;-;1
11;156;-;-;3;-;1;-;-;-;-;-;-;-;4
11;157;-;1;-;-;1;-;-;-;-;-;-;-;2
11;158;1;1;-;1;-;-;-;-;-;-;-;-;3
35;159;-;-;4;3;2;-;-;-;-;-;-;-;9
33;165;-;1;-;-;-;-;-;-;-;-;-;-;1
33;166;6;2;5;3;3;-;-;-;-;-;-;-;19
33;167;2;1;1;-;1;-;-;-;-;-;-;-;5
33;168;1;1;-;-;1;-;-;-;-;-;-;-;3
