cdmun;nome;aisp
330010;Angra dos Reis;AISP33
330015;Aperibé;AISP36
330020;Araruama;AISP25
330022;Areal;AISP38
330023;Armação dos Búzios;AISP25
330025;Arraial do Cabo;AISP25
330030;Barra do Piraí;AISP10
330040;Barra Mansa;AISP28
330045;Belford Roxo;AISP40
330050;Bom Jardim;AISP11
330060;Bom Jesus do Itabapoana;AISP29
330070;Cabo Frio;AISP25
330080;Cachoeiras de Macacu;AISP35
330090;Cambuci;AISP36
330093;Carapebus;AISP32
330095;Comendador Levy Gasparian;AISP38
330100;Campos dos Goytacazes;AISP08
330110;Cantagalo;AISP11
330115;Cardoso Moreira;AISP29
330120;Carmo;AISP30
330130;Casimiro de Abreu;AISP32
330140;Conceição de Macabu;AISP32
330150;Cordeiro;AISP11
330160;Duas Barras;AISP11
330170;Duque de Caxias;AISP15
330180;Engenheiro Paulo de Frontin;AISP10
330185;Guapimirim;AISP34
330187;Iguaba Grande;AISP25
330190;Itaboraí;AISP35
330200;Itaguaí;AISP24
330205;Italva;AISP29
330210;Itaocara;AISP36
330220;Itaperuna;AISP29
330225;Itatiaia;AISP37
330227;Japeri;AISP24
330230;Laje do Muriaé;AISP29
330240;Macaé;AISP32
330245;Macuco;AISP11
330250;Magé;AISP34
330260;Mangaratiba;AISP33
330270;Maricá;AISP12
330280;Mendes;AISP10
330285;Mesquita;AISP20
330290;Miguel Pereira;AISP10
330300;Miracema;AISP36
330310;Natividade;AISP29
330320;Nilópolis;AISP20
330330;Niterói;AISP12
330340;Nova Friburgo;AISP11
330350;Nova Iguaçu;AISP20
330360;Paracambi;AISP24
330370;Paraíba do Sul;AISP38
330380;Paraty;AISP33
330385;Paty do Alferes;AISP10
330390;Petrópolis;AISP26
330395;Pinheiral;AISP28
330400;Piraí;AISP10
330410;Porciúncula;AISP29
330411;Porto Real;AISP37
330412;Quatis;AISP37
330414;Queimados;AISP24
330415;Quissamã;AISP32
330420;Resende;AISP37
330430;Rio Bonito;AISP35
330440;Rio Claro;AISP33
330450;Rio das Flores;AISP10
330452;Rio das Ostras;AISP32
330455;Rio de Janeiro;AISP02 AISP03 AISP04 AISP05 AISP06 AISP09 AISP14 AISP16 AISP17 AISP18 AISP19 AISP22 AISP23 AISP27 AISP31 AISP39 AISP41
330460;Santa Maria Madalena;AISP11
330470;Santo Antônio de Pádua;AISP36
330475;São Francisco de Itabapoana;AISP08
330480;São Fidélis;AISP08
330490;São Gonçalo;AISP07
330500;São João da Barra;AISP08
330510;São João de Meriti;AISP21
330513;São José de Ubá;AISP29
330515;São José do Vale do Rio Preto;AISP30
330520;São Pedro da Aldeia;AISP25
330530;São Sebastião do Alto;AISP36
330540;Sapucaia;AISP38
330550;Saquarema;AISP25
330555;Seropédica;AISP24
330560;Silva Jardim;AISP35
330570;Sumidouro;AISP30
330575;Tanguá;AISP35
330580;Teresópolis;AISP30
330590;Trajano de Moraes;AISP11
330600;Três Rios;AISP38
330610;Valença;AISP10
330615;Varre-Sai;AISP29
330620;Vassouras;AISP10
330630;Volta Redonda;AISP28
