AISP;DP;UP
5;001;Praça Mauá
5;004;Praça da República
5;005;Mem de Sá
4;006;Cidade Nova
5;007;Santa Tereza
2;009;Catete
2;010;Botafogo
23;011;Rocinha
19;012;Copacabana
19;013;Ipanema
23;014;Leblon
23;015;Gávea
31;016;Barra da Tijuca
4;017;São Cristóvão
4;018;Praça da Bandeira
6;019;Tijuca
6;020;Grajaú
22;021;Bonsucesso
16;022;Penha
3;023;Meier
3;024;Piedade
3;025;Engenho Novo
3;026;Todos os Santos
41;027;Vicente de Carvalho
9;028;Campinho
9;029;Madureira
9;030;Marechal Hermes
41;031;Ricardo Albuquerque
18;032;Taquara
14;033;Realengo
14;034;Bangu
40;035;Campo Grande
27;036;Santa Cruz
17;037;Ilha do Governador
16;038;Braz de Pina
41;039;Pavuna
9;040;Honório Gurgel
18;041;Tanque
31;042;Recreio
27;043;Pedra de Guaratiba
3;044;Inhaúma
16;045;Alemão
24;048;Seropédica
24;050;Itaguaí
24;051;Paracambí
20;052;Nova Iguaçu
20;053;Mesquita
39;054;Belford Roxo
24;055;Queimados
20;056;Comendador Soares
20;057;Nilópolis
20;058;Posse
15;059;Duque de Caxias
15;060;Campos Elíseos
15;061;Xerém
15;062;Imbariê
24;063;Japerí
21;064;Vilar dos Teles
34;065;Magé
34;066;Piabetá
34;067;Guapimirim
35;070;Tanguá
35;071;Itaboraí
7;072;São Gonçalo
7;073;Neves
7;074;Alcântara
7;075;Rio do Ouro
12;076;Niterói - Centro
12;077;Icaraí
12;078;Fonseca
12;079;Jurujuba
12;081;Itaipú
12;082;Maricá
10;087;Paty de Alferes (a inaugurar)
10;088;Barra do Piraí
37;089;Resende
28;090;Barra Mansa
10;091;Valença
10;092;Rio das Flores
28;093;Volta Redonda
10;094;Piraí
10;095;Vassouras
10;096;Miguel Pereira
10;097;Mendes
10;098;Paulo de Frontin
37;099;Itatiaia
37;100;Porto Real
28;101;Pinheiral
30;104;São J. Rio Preto
26;105;Petrópolis
26;106;Itaipava
38;107;Paraíba do Sul
38;108;Três Rios
38;109;Sapucaia
30;110;Teresópolis
30;111;Sumidouro
30;112;Carmo
25;118;Araruama
35;119;Rio Bonito
35;120;Silva Jardim
32;121;Casimiro de Abreu
32;122;Conceição de Macabú
32;123;Macaé
25;124;Saquarema
25;125;São Pedro da Aldeia
25;126;Cabo Frio
25;127;Búzios
32;128;Rio das Ostras
25;129;Iguaba
32;130;Quissamã
25;132;Arraial do Cabo
8;134;Campos
36;135;Itaocara
36;136;Santo Antonio de Pádua
36;137;Miracema
29;138;Lajes de Muriaré
29;139;Porciúncula
29;140;Natividade
8;141;São Fidelis
36;142;Cambucí
29;143;Itaperuna
29;144;Bom Jesus Itabapoana
8;145;São João da Barra
8;146;Guarus
8;147;São Francisco de Itabapoana
29;148;Italva
11;151;Nova Friburgo
11;152;Duas Barras
11;153;Cantagalo
11;154;Cordeiro
36;155;São Sebastião do Alto
11;156;Santa Maria Madalena
11;157;Trajano de Morais
11;158;Bom Jardim
35;159;Cachoeira de Macacú
33;165;Mangaratiba
33;166;Angra dos Reis
33;167;Paratí
33;168;Rio Claro
