cod_uf,cod_munic,munic,agr10,agr11,agr12,agr13,ind10,ind11,ind12,ind13,ser1_10,ser1_11,ser1_12,ser1_13,apu10,apu11,apu12,apu13,vab10,vab11,vab12,vab13,imp10,imp11,imp12,imp13,pib10,pib11,pib12,pib13,pop10,pop11,pop12,pop13,pcap10,pcap11,pcap12,pcap13
33,3300100,Angra dos Reis,13805.272,21693.673,24129.256,32889.829,1665387.828,2201377.307,1776222.75,1521960.87,2176368.001,2321195.325,2742922.245,2634096.543,923850.618,1034248.731,1123238.631,1280737.005,4779411.718,5578515.036,5666512.882,5469684.246,899228.364,950150.181,474442.767,646317.758,5678640.082,6528665.217,6140955.648,6116002.005,169270,173370,177101,181486,33547.82,37657.41,34674.88,33699.58
33,3300159,Aperib‚,3934.511,6208.903,6431.201,6078.694,8398.76,13062.836,14594.685,14813.951,28844.856,30575.006,33030.769,41725.165,49331.232,52711.418,56235.551,65077.809,90509.359,102558.163,110292.207,127695.618,4353.063,5387.092,4943.099,8044.155,94862.422,107945.255,115235.306,135739.773,10215,10382,10545,10736,9286.58,10397.35,10927.96,12643.42
33,3300209,Araruama,17126.188,19708.323,22485.021,26091.815,265303.861,306470.129,214434.408,321255.009,538779.825,596203.374,864570.338,909694.821,468353.811,528159.061,565493.367,653818.532,1289563.685,1450540.887,1666983.134,1910860.177,102714.72,109621.986,163416.539,157365.424,1392278.405,1560162.873,1830399.673,2068225.602,112028,114250,116418,118964,12427.95,13655.69,15722.65,17385.31
33,3300225,Areal,1159.224,1203.728,1536.234,2402.892,56059.009,49565.265,43322.357,37487.751,154820.196,197075.484,206592.811,88049.371,56937.355,65734.903,69179.611,80240.559,268975.783,313579.38,320631.012,208180.573,31522.445,34528.7,35936.472,35002.97,300498.228,348108.079,356567.484,243183.543,11421,11540,11654,11785,26311.03,30165.34,30596.15,20635.01
33,3300233,Arma‡Æo dos B£zios,3000.591,4547.604,5363.339,7058.528,967555.869,1343422.619,1958154.809,1885435.626,678162.891,833832.509,1028999.856,1197218.06,175554.792,203673.598,223921.483,264318.038,1824274.143,2385476.331,3216439.488,3354030.252,48837.043,60388.9,72586.906,85049.922,1873111.187,2445865.231,3289026.394,3439080.174,27538,28279,28973,29790,68019.14,86490.51,113520.39,115444.11
33,3300258,Arraial do Cabo,4684.579,7378.709,8610.886,11776.59,70905.74,141001.742,749571.992,533650.798,152316.667,191246.354,378289.15,350531.906,135088.639,153040.522,164636.855,190355.895,362995.625,492667.326,1301108.882,1086315.19,39160.215,42570.683,59224.486,39288.57,402155.84,535238.009,1360333.368,1125603.76,27770,28010,28295,28627,14481.67,19108.82,48076.81,39319.65
33,3300308,Barra do Pira¡,27189.655,30291.847,14232.15,13839.309,355368.597,301427.878,357781.291,325965.86,588580.409,595544.407,694524.384,701331.829,376582.216,419688.117,447394.359,504208.507,1347720.876,1346952.25,1513932.183,1545345.505,131982.947,131582.477,150058.464,159337.602,1479703.823,1478534.726,1663990.647,1704683.106,94855,95260,95726,96261,15599.64,15521.04,17382.85,17708.97
33,3300407,Barra Mansa,27448.559,39749.615,43029.629,44567.034,940086.47,934963.234,1095784.259,1513268.464,1346470.18,1397555.644,1599591.598,1942562.142,744651.899,810632.268,852228.078,926206.492,3058657.107,3182900.762,3590633.563,4426604.132,413610.662,412779.084,471866.878,599483.714,3472267.77,3595679.846,4062500.441,5026087.845,177861,178355,178880,179472,19522.37,20160.24,22710.76,28004.86
33,3300456,Belford Roxo,1166.008,1636.355,1684.177,2008.208,915900.521,985120.8,976272.302,1125248.216,1264631.343,1598693.059,1511492.809,2088759.885,1842434.181,2022152.944,2124447.68,2467668.442,4024132.053,4607603.158,4613896.968,5683684.75,435185.741,503276.601,654587.243,643264.64,4459317.793,5110879.759,5268484.21,6326949.39,469261,472008,474596,477583,9502.85,10827.95,11100.99,13247.85
33,3300506,Bom Jardim,33557.862,47212.411,46563.571,43004.47,110917.544,115611.662,145631.832,146821.354,114316.834,124767.541,148645.596,177945.32,105472.081,122343.645,131745.544,152116.265,364264.321,409935.259,472586.543,519887.409,43372.465,53111.785,51612.941,67629.146,407636.786,463047.044,524199.483,587516.554,25398,25539,25738,25969,16049.96,18130.98,20366.75,22623.77
33,3300605,Bom Jesus do Itabapoana,21922.835,26874.982,30573.671,34949.217,44533.062,47724.066,53336.813,59424.096,180476.659,191955.725,213240.892,237021.46,154606.307,166539.486,179131.157,202161.948,401538.864,433094.258,476282.532,533556.721,25146.198,32532.889,35282.746,50741.81,426685.062,465627.147,511565.278,584298.531,35384,35546,35677,35825,12058.7,13099.28,14338.8,16309.8
33,3300704,Cabo Frio,15580.074,20237.054,23436.014,27871.805,5291197.149,7561848.007,10561467.03,10095491.93,2866255.737,3701462.488,4668900.619,5003029.953,912132.474,1056906.59,1166612.693,1386889.071,9085165.434,12340454.14,16420416.36,16513282.75,232436.673,287436.506,347733.757,363858.418,9317602.107,12627890.65,16768150.12,16877141.17,186222,190787,195197,200380,50034.92,66188.42,85903.73,84225.68
33,3300803,Cachoeiras de Macacu,17296.541,24077.539,25575.913,28613.117,164165.401,168949.555,203638.402,202511.007,322080.344,313184.993,349234.484,280787.267,244739.195,272039.981,297636.564,340802.177,748281.481,778252.069,876085.362,852713.569,139063.517,126325.261,157273.925,152392.756,887344.998,904577.33,1033359.287,1005106.325,54370,54713,55139,55632,16320.49,16533.13,18740.99,18067.05
33,3300902,Cambuci,27282.213,51588.318,46449.084,43362.365,14979.517,16719.439,21237.024,24527.415,51180.729,54868.931,62457.365,66305.974,68565.614,75096.483,82147.165,89383.985,162008.073,198273.171,212290.638,223579.739,6894.764,16260.422,13616.229,28261.957,168902.837,214533.593,225906.868,251841.696,14829,14840,14851,14862,11390.04,14456.44,15211.56,16945.34
33,3300936,Carapebus,5644.122,6807.247,7214.43,8648.385,339936.767,489029.33,545847.954,469137.53,161956.268,211028.812,228614.956,234532.512,85272.167,91900.142,100618.249,123210.132,592809.324,798765.53,882295.589,835528.558,11793.632,14754.685,17171.942,22540.67,604602.956,813520.215,899467.531,858069.228,13348,13697,14024,14408,45295.4,59394.04,64137.73,59555.05
33,3300951,Comendador Levy Gasparian,2232.818,2959.133,3535.128,3753.408,20821.397,25469.169,33928.611,51183.749,125592.916,87865.574,87580.886,83194.393,41237.507,44955.295,46580.475,56700.312,189884.639,161249.17,171625.1,194831.863,19292.3,21966.193,24018.74,26288.214,209176.939,183215.363,195643.84,221120.077,8183,8200,8219,8240,25562.38,22343.34,23803.85,26834.96
33,3301009,Campos dos Goytacazes,127129.928,131300.879,175226.066,147429.511,24832243.51,33794774.78,40274712.99,37865660.16,10651444.15,13593916.24,15312495.67,16009717.12,2253466.42,2539862.735,2629502.634,3073955.34,37864284.01,50059854.63,58391937.37,57096762.13,808213.874,950747.791,1079474.153,1152694.076,38672497.89,51010602.42,59471411.52,58249456.21,463545,468087,472300,477208,83427.71,108976.76,125918.72,122063.03
33,3301108,Cantagalo,14611.244,16349.931,17788.714,20194.014,402349.658,341902.65,462373.961,443444.228,134494.111,146895.891,174948.733,186242.506,97319.953,107877.028,121157.942,133650.422,648774.967,613025.5,776269.35,783531.17,81051.463,69120.667,83767.568,76300.579,729826.43,682146.167,860036.918,859831.749,19826,19830,19830,19825,36811.58,34399.71,43370.5,43371.08
