Código;Município;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015
330455;Rio de Janeiro;5442424;5480768;5493603;5547030;5596712;5645166;5551538;5569181;5584048;5598955;5857904;5897487;5937251;5974082;6010814;6094182;6136656;6178762;6161047;6186713;6320446;6355949;6390290;6429923;6453682;6476631
330490;São Gonçalo;763665;779832;789539;807775;815008;822065;833379;846731;857980;869258;891119;903331;914536;925400;936239;960842;973372;985799;982832;991377;999728;1008065;1016128;1025507;1031903;1038081
330350;Nova Iguaçu;1277761;1297704;782150;792915;800019;806945;826188;839600;850900;862226;920599;764879;780344;792206;804044;830903;844581;858151;855500;865089;796257;799047;801746;804815;806177;807492
330170;Duque de Caxias;658778;667821;676390;683450;689568;695543;715089;726875;736801;746756;775456;783517;798102;808614;819096;842890;855008;867029;864392;872762;855048;861158;867067;873921;878402;882729
330330;Niterói;432319;436155;438731;442783;446753;450618;450364;453910;456892;459883;459451;461203;464354;466630;468897;474048;476671;479270;477912;479386;487562;489720;491807;494200;495470;496696
330510;São João de Meriti;423123;425772;427322;430352;434204;437960;434323;436456;438254;440056;449476;452110;454467;456774;459084;464328;466995;469637;468309;469831;458673;459379;460062;460799;460711;460625
330100;Campos dos Goytacazes;383867;389109;378706;385067;388518;391882;389547;392849;395627;398416;406989;410220;413445;416441;419427;426215;429668;433093;431839;434008;463731;468087;472300;477208;480648;483970
330045;Belford Roxo;-;-;367700;370280;373594;376831;399319;408947;417060;425192;434474;442012;449995;457198;464386;480695;489001;497237;495694;501544;469332;472008;474596;477583;479386;481127
330390;Petrópolis;252916;255468;258042;259880;262206;264477;269669;273211;276193;279182;286537;290138;293075;296110;299131;306001;309498;313697;312766;315119;295917;296565;297192;297888;298017;298142
330630;Volta Redonda;216701;220305;222477;226533;228564;230540;232287;235274;237792;240316;242063;244715;246642;248765;250884;255697;258145;260570;259811;261404;257803;259012;260180;261522;262259;262970
330250;Magé;189264;191734;167185;167302;168803;170264;183113;187963;192054;196148;205830;210861;214700;218823;222930;232254;236999;241708;240940;244335;227322;228972;230568;232419;233634;234809
330190;Itaboraí;158004;162742;166697;170935;172461;173958;184560;165960;169966;173977;187479;192651;197017;201442;205857;215877;220982;226040;225309;228996;218008;220352;222618;225263;227168;229007
330340;Nova Friburgo;162785;167081;167473;174506;176067;177593;169246;169787;170238;170695;173418;174085;174752;175372;175987;177387;178099;178807;178310;178653;182082;182748;183391;184122;184460;184786
330040;Barra Mansa;170498;172216;164047;166270;167759;169211;166745;167567;168262;168955;170753;171468;172293;173003;173715;175325;176152;176966;176469;176902;177813;178355;178880;179472;179697;179915
330320;Nilópolis;157453;158092;157581;159197;160626;162016;155272;154570;153975;153382;153712;153017;152788;152362;151937;150970;150473;149989;159005;159409;157425;157710;157986;158288;158299;158309
330240;Macaé;97488;100895;104557;106783;107739;108671;121095;117758;121732;125598;132461;136146;140530;144209;147940;156409;160725;165006;188787;194412;206728;212433;217951;224442;229624;234628
330580;Teresópolis;118546;120709;121509;124446;125563;126649;125122;126221;127150;128081;138081;140144;141738;143435;145123;148966;150920;152858;159968;162070;163746;165716;167622;169849;171482;173060
330070;Cabo Frio;82033;84915;90506;89441;90241;91022;115759;108140;113813;119503;126828;133342;137864;142986;148091;159684;165589;171449;180635;186004;186227;190787;195197;200380;204486;208451
330010;Angra dos Reis;82847;85571;86833;90135;90937;91728;92532;94141;95501;96867;119247;123304;126334;129622;132899;140342;144136;147893;164191;168666;169511;173370;177101;181486;184940;188276
330414;Queimados;-;-;100581;101447;102352;103242;108522;110940;112978;115018;121993;124496;126868;129131;131388;136509;139120;141708;137870;139375;137962;139188;140374;141753;142709;143632
330420;Resende;90132;91757;93727;94304;95153;95974;102625;96444;98530;100625;104549;106994;108870;110875;112876;117416;119728;122017;127763;130035;119769;120938;122068;123385;124316;125214
330200;Itaguaí;110804;113057;115233;116952;117998;119020;125063;71805;73220;74637;82003;84229;85920;87738;89546;93664;95758;97834;103515;105640;109091;111171;113182;115542;117374;119143
330285;Mesquita;-;-;-;-;-;-;-;-;-;-;-;168042;171436;174047;176643;182544;185552;188533;187949;190057;168376;168966;169537;170185;170473;170751
330030;Barra do Piraí;78485;79199;80321;80564;81286;81986;85391;86878;88131;89386;88503;89611;90460;91370;92276;94335;95380;96419;102487;103831;94778;95260;95726;96261;96568;96865
330270;Maricá;45176;46545;49036;49027;49468;49896;60286;62674;64689;66702;76737;80241;83088;86039;88978;95652;99053;102421;119231;123491;127461;131355;135121;139552;143111;146549
330220;Itaperuna;76534;78000;78843;80166;80887;81583;82650;84091;85307;86520;86720;87752;88556;89403;90253;92181;93166;94139;98347;99454;95841;96542;97219;98004;98521;99021
330020;Araruama;58120;59024;60315;60664;61208;61741;66148;68769;70978;73188;82803;85628;87808;90128;92445;97702;100380;103030;107285;109704;112008;114250;116418;118964;120948;122865
330227;Japeri;-;-;67115;67528;68133;68726;73130;76028;78470;80917;83278;85291;86961;88668;90370;94237;96211;98165;100055;101687;95492;96430;97337;98393;99141;99863
330600;Três Rios;80258;81248;66008;67800;68398;68995;66223;66361;66478;66596;71976;72698;73242;73830;74413;75744;76419;77096;75754;76070;77432;77851;78256;78723;78998;79264
330520;São Pedro da Aldeia;49199;50474;53134;53161;53642;54102;65147;57629;59481;61335;63227;65474;67496;69475;71453;75934;78715;81002;82951;84864;87875;89739;91542;93659;95318;96920
330610;Valença;60095;60805;60951;61854;62406;62947;61611;61737;61847;61957;66308;66965;67464;68000;68541;69758;70377;70986;74993;75817;71843;72268;72679;73154;73445;73725
330550;Saquarema;36935;37888;38999;39809;40163;40508;44017;45762;47230;48704;52461;54256;55529;56950;58369;61592;63228;64860;67853;69367;74234;75906;77522;79421;80915;82359
330452;Rio das Ostras;-;-;20015;19145;19315;19485;28106;29568;30802;32038;36419;39046;40249;42025;43794;47816;49870;51906;91085;96620;105676;110992;116134;122196;127171;131976
330555;Seropédica;-;-;-;-;-;-;-;56252;57360;58469;65260;66905;68542;70065;71586;75032;76789;78530;77618;78817;78186;79179;80138;81260;82090;82892
