AISP;DP;UP;JAN;FEV;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ;TOTAL
5;001;Praça Mauá; 660;931;589;607;633;643;606;534;484;529;469;494;7179
5;004;Praça da República; 797;938;933;852;972;924;901;879;977;933;921;851;10878
5;005;Mem de Sá;1357;2123;1017;1004;1161;1114;1058;1183;1128;1353;1038;1104;14640
4;006;Cidade Nova; 519;585;419;434;442;461;505;546;459;546;538;457;5911
5;007;Santa Tereza; 158;386;208;175;186;157;184;196;207;223;212;179;2471
2;009;Catete; 640;816;703;647;692;639;811;764;763;763;774;748;8760
2;010;Botafogo; 729;697;655;648;720;728;666;655;686;697;676;689;8246
23;011;Rocinha;-;-;-;-;-;-;-;-;-;-;-;107;107
19;012;Copacabana; 1648;910;902;748;790;804;1735;812;812;848;785;977;11771
19;013;Ipanema; 458;538;431;479;415;456;499;482;491;468;458;511;5686
23;014;Leblon; 768;1617;746;654;711;646;694;672;760;658;739;693;9358
23;015;Gávea; 527;562;523;492;514;439;467;480;500;555;481;464;6004
31;016;Barra da Tijuca; 1162;1045;1091;1085;1091;1084;1186;1230;1302;1205;1145;1136;13762
4;017;São Cristóvão; 603;634;740;715;771;681;669;761;721;828;758;762;8643
4;018;Praça da Bandeira; 442;401;474;471;482;565;512;545;537;548;582;436;5995
6;019;Tijuca; 599;602;633;719;698;696;694;733;700;689;692;733;8188
6;020;Grajaú; 720;728;815;837;978;961;996;928;918;698;576;581;9736
22;021;Bonsucesso; 987;1030;1095;1146;1167;1100;1121;1176;1175;1472;1405;1237;14111
16;022;Penha; 921;889;972;900;993;850;925;933;946;1034;876;941;11180
3;023;Meier; 741;705;724;736;808;683;731;725;714;705;710;730;8712
3;024;Piedade; 407;414;434;406;451;441;450;429;481;498;487;441;5339
3;025;Engenho Novo; 556;566;706;650;588;599;589;561;560;755;811;706;7647
3;026;Todos os Santos; 447;406;483;472;509;470;427;472;410;496;436;454;5482
41;027;Vicente de Carvalho; 814;801;763;728;767;728;743;855;925;904;706;751;9485
9;028;Campinho; 617;580;709;712;772;670;673;723;688;801;689;714;8348
9;029;Madureira; 677;682;736;716;812;731;692;787;736;878;743;874;9064
9;030;Marechal Hermes; 435;439;529;494;479;579;565;527;534;646;621;679;6527
41;031;Ricardo Albuquerque; 505;508;532;550;630;577;541;566;566;559;591;694;6819
18;032;Taquara; 1322;1304;1407;1376;1468;1412;1347;1411;1393;1560;1429;1491;16920
14;033;Realengo;922;856;886;949;1007;909;907;984;966;1020;1038;998;11442
14;034;Bangu;1373;1433;1556;1487;1444;1466;1481;1433;1503;1653;1497;1637;17963
40;035;Campo Grande; 1773;1883;1943;1985;1942;1954;1814;2010;1815;1923;1759;1870;22671
27;036;Santa Cruz; 822;907;965;1021;891;956;1002;971;940;1000;938;1030;11443
17;037;Ilha do Governador; 821;778;846;865;836;868;807;850;844;861;799;898;10073
