AISP;DP;JAN;FEV;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ;TOTAL
5;001;416;649;336;353;404;-;-;-;-;-;-;-;2158;
5;004;1056;1185;1093;917;878;-;-;-;-;-;-;-;5129;
5;005;1280;1758;1060;1138;1105;-;-;-;-;-;-;-;6341;
4;006;597;714;606;537;599;-;-;-;-;-;-;-;3053;
5;007;223;317;213;167;204;-;-;-;-;-;-;-;1124;
2;009;928;953;765;713;715;-;-;-;-;-;-;-;4074;
2;010;654;764;715;705;692;-;-;-;-;-;-;-;3530;
23;011;123;114;105;140;144;-;-;-;-;-;-;-;626;
19;012;1545;1286;916;891;813;-;-;-;-;-;-;-;5451;
19;013;518;664;386;376;388;-;-;-;-;-;-;-;2332;
23;014;1115;1887;675;806;679;-;-;-;-;-;-;-;5162;
23;015;386;378;338;293;297;-;-;-;-;-;-;-;1692;
31;016;1186;1174;1169;1126;1110;-;-;-;-;-;-;-;5765;
4;017;811;710;802;779;726;-;-;-;-;-;-;-;3828;
4;018;554;613;717;562;654;-;-;-;-;-;-;-;3100;
6;019;690;740;725;698;657;-;-;-;-;-;-;-;3510;
6;020;593;588;588;592;578;-;-;-;-;-;-;-;2939;
22;021;1192;1113;1395;1324;1320;-;-;-;-;-;-;-;6344;
16;022;741;796;844;770;846;-;-;-;-;-;-;-;3997;
3;023;669;729;713;710;709;-;-;-;-;-;-;-;3530;
3;024;532;491;479;512;561;-;-;-;-;-;-;-;2575;
3;025;612;586;725;651;600;-;-;-;-;-;-;-;3174;
3;026;601;528;549;542;521;-;-;-;-;-;-;-;2741;
41;027;997;1040;1095;969;1041;-;-;-;-;-;-;-;5142;
9;028;963;928;852;804;767;-;-;-;-;-;-;-;4314;
9;029;1019;959;1001;914;912;-;-;-;-;-;-;-;4805;
9;030;523;556;564;482;532;-;-;-;-;-;-;-;2657;
41;031;631;678;690;642;766;-;-;-;-;-;-;-;3407;
18;032;1306;1343;1390;1396;1294;-;-;-;-;-;-;-;6729;
14;033;1029;920;1030;755;835;-;-;-;-;-;-;-;4569;
14;034;1467;1396;1434;1379;1430;-;-;-;-;-;-;-;7106;
40;035;1830;1648;1825;1661;1695;-;-;-;-;-;-;-;8659;
27;036;960;969;1022;769;868;-;-;-;-;-;-;-;4588;
17;037;771;769;764;697;779;-;-;-;-;-;-;-;3780;
16;038;787;757;699;717;876;-;-;-;-;-;-;-;3836;
41;039;857;854;1020;878;957;-;-;-;-;-;-;-;4566;
9;040;705;760;921;731;811;-;-;-;-;-;-;-;3928;
18;041;493;481;484;481;499;-;-;-;-;-;-;-;2438;
31;042;849;908;797;716;653;-;-;-;-;-;-;-;3923;
27;043;565;516;549;441;441;-;-;-;-;-;-;-;2512;
3;044;605;632;605;561;648;-;-;-;-;-;-;-;3051;
16;045;131;109;102;93;96;-;-;-;-;-;-;-;531;
24;048;202;226;299;271;271;-;-;-;-;-;-;-;1269;
24;050;589;459;536;413;419;-;-;-;-;-;-;-;2416;
24;051;129;171;166;156;160;-;-;-;-;-;-;-;782;
20;052;954;979;1009;1026;1004;-;-;-;-;-;-;-;4972;
20;053;836;795;788;797;781;-;-;-;-;-;-;-;3997;
39;054;1028;995;1061;1114;1140;-;-;-;-;-;-;-;5338;
24;055;545;561;597;605;614;-;-;-;-;-;-;-;2922;
20;056;822;813;953;895;963;-;-;-;-;-;-;-;4446;
20;057;825;875;795;709;660;-;-;-;-;-;-;-;3864;
20;058;1165;1226;1295;1291;1284;-;-;-;-;-;-;-;6261;
15;059;2090;1870;1939;1883;1990;-;-;-;-;-;-;-;9772;
15;060;767;713;754;719;711;-;-;-;-;-;-;-;3664;
15;061;168;179;158;173;165;-;-;-;-;-;-;-;843;
15;062;443;491;531;448;463;-;-;-;-;-;-;-;2376;
24;063;309;343;322;286;292;-;-;-;-;-;-;-;1552;
21;064;1801;1703;1789;1679;1868;-;-;-;-;-;-;-;8840;
34;065;310;302;324;295;302;-;-;-;-;-;-;-;1533;
34;066;446;474;488;441;452;-;-;-;-;-;-;-;2301;
34;067;185;188;185;180;165;-;-;-;-;-;-;-;903;
35;070;87;73;91;77;84;-;-;-;-;-;-;-;412;
35;071;811;693;755;739;761;-;-;-;-;-;-;-;3759;
7;072;1076;1109;1140;1035;1106;-;-;-;-;-;-;-;5466;
7;073;864;755;992;839;842;-;-;-;-;-;-;-;4292;
7;074;1258;1257;1370;1329;1389;-;-;-;-;-;-;-;6603;
7;075;633;615;640;581;518;-;-;-;-;-;-;-;2987;
12;076;794;665;782;763;843;-;-;-;-;-;-;-;3847;
12;077;528;575;543;448;462;-;-;-;-;-;-;-;2556;
12;078;508;511;538;537;497;-;-;-;-;-;-;-;2591;
12;079;284;275;288;309;282;-;-;-;-;-;-;-;1438;
12;081;393;375;365;388;357;-;-;-;-;-;-;-;1878;
12;082;642;640;580;551;596;-;-;-;-;-;-;-;3009;
10;087;-;-;-;-;-;-;-;-;-;-;-;-;-;
10;088;231;230;251;211;240;-;-;-;-;-;-;-;1163;
37;089;452;424;446;417;361;-;-;-;-;-;-;-;2100;
28;090;417;407;432;334;425;-;-;-;-;-;-;-;2015;
10;091;144;133;175;141;161;-;-;-;-;-;-;-;754;
10;092;22;22;23;25;28;-;-;-;-;-;-;-;120;
28;093;688;628;713;832;730;-;-;-;-;-;-;-;3591;
10;094;102;107;100;100;98;-;-;-;-;-;-;-;507;
10;095;82;88;89;79;121;-;-;-;-;-;-;-;459;
10;096;164;164;182;175;204;-;-;-;-;-;-;-;889;
10;097;46;45;51;56;34;-;-;-;-;-;-;-;232;
10;098;33;41;34;44;43;-;-;-;-;-;-;-;195;
37;099;124;146;126;167;127;-;-;-;-;-;-;-;690;
37;100;101;72;79;77;88;-;-;-;-;-;-;-;417;
28;101;69;74;98;69;89;-;-;-;-;-;-;-;399;
30;104;44;38;53;37;43;-;-;-;-;-;-;-;215;
26;105;631;598;666;646;602;-;-;-;-;-;-;-;3143;
26;106;144;186;190;170;165;-;-;-;-;-;-;-;855;
38;107;106;86;104;81;78;-;-;-;-;-;-;-;455;
38;108;309;376;376;401;421;-;-;-;-;-;-;-;1883;
38;109;54;42;61;54;78;-;-;-;-;-;-;-;289;
30;110;548;608;703;581;623;-;-;-;-;-;-;-;3063;
30;111;31;25;36;20;16;-;-;-;-;-;-;-;128;
30;112;74;61;75;56;56;-;-;-;-;-;-;-;322;
25;118;492;421;433;435;451;-;-;-;-;-;-;-;2232;
35;119;122;125;156;133;153;-;-;-;-;-;-;-;689;
35;120;60;54;68;51;62;-;-;-;-;-;-;-;295;
32;121;102;141;122;139;139;-;-;-;-;-;-;-;643;
32;122;53;52;50;43;62;-;-;-;-;-;-;-;260;
32;123;993;848;937;820;829;-;-;-;-;-;-;-;4427;
25;124;269;280;242;224;269;-;-;-;-;-;-;-;1284;
25;125;253;232;265;223;242;-;-;-;-;-;-;-;1215;
25;126;851;913;788;866;805;-;-;-;-;-;-;-;4223;
25;127;326;271;258;225;198;-;-;-;-;-;-;-;1278;
32;128;639;634;648;585;563;-;-;-;-;-;-;-;3069;
25;129;87;97;76;94;85;-;-;-;-;-;-;-;439;
32;130;90;89;90;75;85;-;-;-;-;-;-;-;429;
25;132;170;159;118;117;147;-;-;-;-;-;-;-;711;
8;134;768;701;896;794;849;-;-;-;-;-;-;-;4008;
36;135;62;78;83;68;86;-;-;-;-;-;-;-;377;
36;136;139;168;142;167;153;-;-;-;-;-;-;-;769;
36;137;100;94;89;77;84;-;-;-;-;-;-;-;444;
29;138;33;42;22;23;28;-;-;-;-;-;-;-;148;
29;139;85;81;87;97;88;-;-;-;-;-;-;-;438;
29;140;64;75;72;72;76;-;-;-;-;-;-;-;359;
8;141;60;85;97;85;102;-;-;-;-;-;-;-;429;
36;142;25;34;31;32;35;-;-;-;-;-;-;-;157;
29;143;273;272;360;331;337;-;-;-;-;-;-;-;1573;
29;144;92;126;121;133;118;-;-;-;-;-;-;-;590;
8;145;180;150;114;89;109;-;-;-;-;-;-;-;642;
8;146;372;359;398;404;406;-;-;-;-;-;-;-;1939;
8;147;111;128;112;88;87;-;-;-;-;-;-;-;526;
29;148;71;84;78;63;54;-;-;-;-;-;-;-;350;
11;151;607;628;636;528;527;-;-;-;-;-;-;-;2926;
11;152;25;32;41;27;42;-;-;-;-;-;-;-;167;
11;153;50;52;59;36;51;-;-;-;-;-;-;-;248;
11;154;61;61;69;64;79;-;-;-;-;-;-;-;334;
36;155;25;16;24;19;19;-;-;-;-;-;-;-;103;
11;156;29;28;26;28;23;-;-;-;-;-;-;-;134;
11;157;25;30;22;18;30;-;-;-;-;-;-;-;125;
11;158;55;45;37;35;39;-;-;-;-;-;-;-;211;
35;159;173;158;137;151;149;-;-;-;-;-;-;-;768;
33;165;195;231;180;125;123;-;-;-;-;-;-;-;854;
33;166;478;504;440;442;459;-;-;-;-;-;-;-;2323;
33;167;204;171;146;146;157;-;-;-;-;-;-;-;824;
33;168;46;59;47;54;40;-;-;-;-;-;-;-;246;
