AISP;DP;JAN;FEV;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ;TOTAL
5;001;416;649;336;353;-;-;-;-;-;-;-;-;1754
5;004;1056;1185;1093;917;-;-;-;-;-;-;-;-;4251
5;005;1280;1758;1060;1138;-;-;-;-;-;-;-;-;5236
4;006;597;714;606;537;-;-;-;-;-;-;-;-;2454
5;007;223;317;213;167;-;-;-;-;-;-;-;-;920
2;009;928;953;765;713;-;-;-;-;-;-;-;-;3359
2;010;654;764;715;705;-;-;-;-;-;-;-;-;2838
23;011;123;114;105;140;-;-;-;-;-;-;-;-;482
19;012;1545;1286;916;891;-;-;-;-;-;-;-;-;4638
19;013;518;664;386;376;-;-;-;-;-;-;-;-;1944
23;014;1115;1887;675;806;-;-;-;-;-;-;-;-;4483
23;015;386;378;338;293;-;-;-;-;-;-;-;-;1395
31;016;1186;1174;1169;1126;-;-;-;-;-;-;-;-;4655
4;017;811;710;802;779;-;-;-;-;-;-;-;-;3102
4;018;554;613;717;562;-;-;-;-;-;-;-;-;2446
6;019;690;740;725;698;-;-;-;-;-;-;-;-;2853
6;020;593;588;588;592;-;-;-;-;-;-;-;-;2361
22;021;1192;1113;1395;1324;-;-;-;-;-;-;-;-;5024
16;022;741;796;844;770;-;-;-;-;-;-;-;-;3151
3;023;669;729;713;710;-;-;-;-;-;-;-;-;2821
3;024;532;491;479;512;-;-;-;-;-;-;-;-;2014
3;025;612;586;725;651;-;-;-;-;-;-;-;-;2574
3;026;601;528;549;542;-;-;-;-;-;-;-;-;2220
41;027;997;1040;1095;969;-;-;-;-;-;-;-;-;4101
9;028;963;928;852;804;-;-;-;-;-;-;-;-;3547
9;029;1019;959;1001;914;-;-;-;-;-;-;-;-;3893
9;030;523;556;564;482;-;-;-;-;-;-;-;-;2125
41;031;631;678;690;642;-;-;-;-;-;-;-;-;2641
18;032;1306;1343;1390;1396;-;-;-;-;-;-;-;-;5435
14;033;1029;920;1030;755;-;-;-;-;-;-;-;-;3734
14;034;1467;1396;1434;1379;-;-;-;-;-;-;-;-;5676
40;035;1830;1648;1825;1661;-;-;-;-;-;-;-;-;6964
27;036;960;969;1022;769;-;-;-;-;-;-;-;-;3720
17;037;771;769;764;697;-;-;-;-;-;-;-;-;3001
16;038;787;757;699;717;-;-;-;-;-;-;-;-;2960
41;039;857;854;1020;878;-;-;-;-;-;-;-;-;3609
9;040;705;760;921;731;-;-;-;-;-;-;-;-;3117
18;041;493;481;484;481;-;-;-;-;-;-;-;-;1939
31;042;849;908;797;716;-;-;-;-;-;-;-;-;3270
27;043;565;516;549;441;-;-;-;-;-;-;-;-;2071
3;044;605;632;605;561;-;-;-;-;-;-;-;-;2403
16;045;131;109;102;93;-;-;-;-;-;-;-;-;435
24;048;202;226;299;271;-;-;-;-;-;-;-;-;998
24;050;589;459;536;413;-;-;-;-;-;-;-;-;1997
24;051;129;171;166;156;-;-;-;-;-;-;-;-;622
20;052;954;979;1009;1026;-;-;-;-;-;-;-;-;3968
20;053;836;795;788;797;-;-;-;-;-;-;-;-;3216
39;054;1028;995;1061;1114;-;-;-;-;-;-;-;-;4198
24;055;545;561;597;605;-;-;-;-;-;-;-;-;2308
20;056;822;813;953;895;-;-;-;-;-;-;-;-;3483
20;057;825;875;795;709;-;-;-;-;-;-;-;-;3204
20;058;1165;1226;1295;1291;-;-;-;-;-;-;-;-;4977
15;059;2090;1870;1939;1883;-;-;-;-;-;-;-;-;7782
15;060;767;713;754;719;-;-;-;-;-;-;-;-;2953
15;061;168;179;158;173;-;-;-;-;-;-;-;-;678
15;062;443;491;531;448;-;-;-;-;-;-;-;-;1913
24;063;309;343;322;286;-;-;-;-;-;-;-;-;1260
21;064;1801;1703;1789;1679;-;-;-;-;-;-;-;-;6972
34;065;310;302;324;295;-;-;-;-;-;-;-;-;1231
34;066;446;474;488;441;-;-;-;-;-;-;-;-;1849
34;067;185;188;185;180;-;-;-;-;-;-;-;-;738
35;070;87;73;91;77;-;-;-;-;-;-;-;-;328
35;071;811;693;755;739;-;-;-;-;-;-;-;-;2998
7;072;1076;1109;1140;1035;-;-;-;-;-;-;-;-;4360
7;073;864;755;992;839;-;-;-;-;-;-;-;-;3450
7;074;1258;1257;1370;1329;-;-;-;-;-;-;-;-;5214
7;075;633;615;640;581;-;-;-;-;-;-;-;-;2469
12;076;794;665;782;763;-;-;-;-;-;-;-;-;3004
12;077;528;575;543;448;-;-;-;-;-;-;-;-;2094
12;078;508;511;538;537;-;-;-;-;-;-;-;-;2094
12;079;284;275;288;309;-;-;-;-;-;-;-;-;1156
12;081;393;375;365;388;-;-;-;-;-;-;-;-;1521
12;082;642;640;580;551;-;-;-;-;-;-;-;-;2413
10;087;-;-;-;-;-;-;-;-;-;-;-;-;-
10;088;231;230;251;211;-;-;-;-;-;-;-;-;923
37;089;452;424;446;417;-;-;-;-;-;-;-;-;1739
28;090;417;407;432;334;-;-;-;-;-;-;-;-;1590
10;091;144;133;175;141;-;-;-;-;-;-;-;-;593
10;092;22;22;23;25;-;-;-;-;-;-;-;-;92
28;093;688;628;713;832;-;-;-;-;-;-;-;-;2861
10;094;102;107;100;100;-;-;-;-;-;-;-;-;409
10;095;82;88;89;79;-;-;-;-;-;-;-;-;338
10;096;164;164;182;175;-;-;-;-;-;-;-;-;685
10;097;46;45;51;56;-;-;-;-;-;-;-;-;198
10;098;33;41;34;44;-;-;-;-;-;-;-;-;152
37;099;124;146;126;167;-;-;-;-;-;-;-;-;563
37;100;101;72;79;77;-;-;-;-;-;-;-;-;329
28;101;69;74;98;69;-;-;-;-;-;-;-;-;310
30;104;44;38;53;37;-;-;-;-;-;-;-;-;172
26;105;631;598;666;646;-;-;-;-;-;-;-;-;2541
26;106;144;186;190;170;-;-;-;-;-;-;-;-;690
38;107;106;86;104;81;-;-;-;-;-;-;-;-;377
38;108;309;376;376;401;-;-;-;-;-;-;-;-;1462
38;109;54;42;61;54;-;-;-;-;-;-;-;-;211
30;110;548;608;703;581;-;-;-;-;-;-;-;-;2440
30;111;31;25;36;20;-;-;-;-;-;-;-;-;112
30;112;74;61;75;56;-;-;-;-;-;-;-;-;266
25;118;492;421;433;435;-;-;-;-;-;-;-;-;1781
35;119;122;125;156;133;-;-;-;-;-;-;-;-;536
35;120;60;54;68;51;-;-;-;-;-;-;-;-;233
32;121;102;141;122;139;-;-;-;-;-;-;-;-;504
32;122;53;52;50;43;-;-;-;-;-;-;-;-;198
32;123;993;848;937;820;-;-;-;-;-;-;-;-;3598
25;124;269;280;242;224;-;-;-;-;-;-;-;-;1015
25;125;253;232;265;223;-;-;-;-;-;-;-;-;973
25;126;851;913;788;866;-;-;-;-;-;-;-;-;3418
25;127;326;271;258;225;-;-;-;-;-;-;-;-;1080
32;128;639;634;648;585;-;-;-;-;-;-;-;-;2506
25;129;87;97;76;94;-;-;-;-;-;-;-;-;354
32;130;90;89;90;75;-;-;-;-;-;-;-;-;344
25;132;170;159;118;117;-;-;-;-;-;-;-;-;564
8;134;768;701;896;794;-;-;-;-;-;-;-;-;3159
36;135;62;78;83;68;-;-;-;-;-;-;-;-;291
36;136;139;168;142;167;-;-;-;-;-;-;-;-;616
36;137;100;94;89;77;-;-;-;-;-;-;-;-;360
29;138;33;42;22;23;-;-;-;-;-;-;-;-;120
29;139;85;81;87;97;-;-;-;-;-;-;-;-;350
29;140;64;75;72;72;-;-;-;-;-;-;-;-;283
8;141;60;85;97;85;-;-;-;-;-;-;-;-;327
36;142;25;34;31;32;-;-;-;-;-;-;-;-;122
29;143;273;272;360;331;-;-;-;-;-;-;-;-;1236
29;144;92;126;121;133;-;-;-;-;-;-;-;-;472
8;145;180;150;114;89;-;-;-;-;-;-;-;-;533
8;146;372;359;398;404;-;-;-;-;-;-;-;-;1533
8;147;111;128;112;88;-;-;-;-;-;-;-;-;439
29;148;71;84;78;63;-;-;-;-;-;-;-;-;296
11;151;607;628;636;528;-;-;-;-;-;-;-;-;2399
11;152;25;32;41;27;-;-;-;-;-;-;-;-;125
11;153;50;52;59;36;-;-;-;-;-;-;-;-;197
11;154;61;61;69;64;-;-;-;-;-;-;-;-;255
36;155;25;16;24;19;-;-;-;-;-;-;-;-;84
11;156;29;28;26;28;-;-;-;-;-;-;-;-;111
11;157;25;30;22;18;-;-;-;-;-;-;-;-;95
11;158;55;45;37;35;-;-;-;-;-;-;-;-;172
35;159;173;158;137;151;-;-;-;-;-;-;-;-;619
33;165;195;231;180;125;-;-;-;-;-;-;-;-;731
33;166;478;504;440;442;-;-;-;-;-;-;-;-;1864
33;167;204;171;146;146;-;-;-;-;-;-;-;-;667
33;168;46;59;47;54;-;-;-;-;-;-;-;-;206
