AISP;DP;JAN;FEV;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ;TOTAL
5;001;411;648;337;355;404;340;485;685;522;494;510;-;5191
5;004;1054;1183;1091;921;878;979;967;1228;1045;841;877;-;11064
5;005;1274;1750;1056;1133;1102;997;1211;1747;1222;1179;1109;-;13780
4;006;595;706;598;527;587;607;606;564;601;711;596;-;6698
5;007;224;316;210;167;201;202;180;180;189;196;199;-;2264
2;009;928;945;761;707;713;743;768;829;717;778;687;-;8576
2;010;648;763;712;701;693;692;679;792;695;722;658;-;7755
23;011;122;113;105;138;145;151;157;158;169;222;124;-;1604
19;012;1541;1278;911;887;805;736;791;1458;854;889;773;-;10923
19;013;512;660;384;373;384;374;393;570;403;444;414;-;4911
23;014;1113;1885;673;800;677;599;706;1055;674;758;727;-;9667
23;015;384;373;336;290;296;314;295;354;293;301;288;-;3524
31;016;1179;1167;1162;1118;1097;1141;1037;1267;1223;1036;1163;-;12590
4;017;805;712;796;775;726;684;648;684;679;684;720;-;7913
4;018;555;615;721;558;652;630;600;683;544;695;687;-;6940
6;019;685;738;726;696;654;740;755;669;613;674;651;-;7601
6;020;591;580;583;587;571;612;983;1269;611;706;623;-;7716
22;021;1184;1111;1392;1319;1323;1386;1407;1394;1344;1423;1525;-;14808
16;022;738;784;827;760;829;847;818;917;810;863;799;-;8992
3;023;668;726;713;709;708;714;744;663;694;700;653;-;7692
3;024;529;490;476;511;552;494;530;534;545;525;543;-;5729
3;025;606;586;721;647;599;598;633;675;1168;858;836;-;7927
3;026;595;527;547;540;518;470;527;465;515;446;480;-;5630
41;027;993;1043;1100;978;1052;1049;1154;962;958;1175;1008;-;11472
9;028;961;920;853;800;767;735;759;697;702;749;694;-;8637
9;029;1010;957;992;912;911;1026;978;957;932;953;945;-;10573
9;030;521;556;561;480;532;550;503;484;515;492;544;-;5738
41;031;631;676;685;638;759;760;747;799;834;932;909;-;8370
18;032;1289;1328;1378;1390;1289;1288;1235;1265;1214;1272;1256;-;14204
14;033;1022;918;1026;753;834;832;843;1043;958;982;970;-;10181
14;034;1457;1393;1429;1371;1420;1521;1527;1496;1552;1569;1584;-;16319
40;035;1818;1639;1807;1637;1679;1667;1728;1838;2037;2196;2048;-;20094
27;036;963;970;1020;773;873;832;976;928;942;982;957;-;10216
17;037;768;766;761;693;776;656;692;696;671;617;629;-;7725
16;038;783;754;694;697;864;819;736;807;711;858;803;-;8526
41;039;847;848;1013;873;949;984;872;888;988;1011;1091;-;10364
9;040;699;755;915;727;809;785;752;695;782;857;883;-;8659
18;041;489;476;483;479;497;455;534;492;518;560;499;-;5482
31;042;845;905;794;711;652;661;664;959;807;673;797;-;8468
27;043;563;514;546;436;436;453;468;455;441;413;456;-;5181
3;044;601;626;600;557;644;525;485;522;576;598;515;-;6249
16;045;130;108;102;91;95;103;104;100;61;90;56;-;1040
24;048;199;226;295;265;263;304;404;292;284;268;246;-;3046
24;050;587;454;534;408;412;474;419;449;451;499;468;-;5155
24;051;126;170;165;154;156;189;152;167;174;156;154;-;1763
20;052;945;974;1003;1020;1000;1066;1056;1001;1123;1194;1211;-;11593
20;053;832;786;782;795;776;749;740;815;865;918;890;-;8948
39;054;1012;979;1042;1099;1125;1127;1102;1144;1317;1470;1345;-;12762
24;055;540;558;594;601;614;588;638;583;792;585;572;-;6665
20;056;819;804;944;886;953;916;833;834;854;960;871;-;9674
20;057;822;872;790;707;658;775;712;836;804;883;858;-;8717
20;058;1156;1221;1286;1283;1275;1100;1197;1097;1171;1373;1213;-;13372
15;059;2076;1864;1930;1878;1973;1872;2154;2016;1945;2156;1793;-;21657
15;060;763;708;751;713;708;801;742;715;750;768;843;-;8262
15;061;168;177;156;173;164;185;170;170;168;162;151;-;1844
15;062;442;481;526;444;459;487;449;530;508;526;548;-;5400
24;063;307;341;319;285;291;317;300;242;322;288;289;-;3301
21;064;1779;1684;1772;1667;1853;1878;1842;1883;1841;2138;1894;-;20231
34;065;305;299;320;290;298;277;285;221;241;278;269;-;3083
34;066;440;472;483;436;449;438;383;420;429;397;419;-;4766
34;067;183;186;184;177;164;207;172;169;189;249;171;-;2051
35;070;86;72;90;77;84;95;68;82;79;79;98;-;910
35;071;800;673;750;726;745;729;751;827;816;862;752;-;8431
7;072;1070;1104;1133;1028;1103;1056;1264;1355;1450;1495;1547;-;13605
7;073;850;746;981;828;832;922;876;840;977;1004;972;-;9828
7;074;1244;1246;1357;1314;1374;1454;1264;1298;1149;1366;1223;-;14289
7;075;631;604;640;581;516;559;599;612;634;651;561;-;6588
12;076;789;664;780;758;835;741;756;828;783;800;765;-;8499
12;077;524;573;538;446;461;407;473;519;478;490;528;-;5437
12;078;506;503;533;534;494;455;509;490;555;554;552;-;5685
12;079;283;274;288;306;281;256;233;287;261;334;269;-;3072
12;081;390;370;361;388;354;331;346;367;334;363;308;-;3912
12;082;639;638;577;548;594;556;559;578;584;702;597;-;6572
10;087;-;;-;;-;;-;;-;;-;;0
10;088;223;228;247;207;236;212;195;216;192;219;200;-;2375
37;089;450;420;443;412;356;350;425;384;432;438;368;-;4478
28;090;411;405;431;331;424;417;418;396;432;445;401;-;4511
10;091;143;131;174;141;159;117;147;143;129;150;122;-;1556
10;092;22;22;23;25;28;26;26;28;27;37;34;-;298
28;093;667;613;699;821;718;649;669;674;639;612;613;-;7374
10;094;102;107;99;100;97;80;83;95;101;81;80;-;1025
10;095;82;88;89;79;121;95;91;120;65;117;86;-;1033
10;096;164;164;181;175;203;175;154;178;180;125;128;-;1827
10;097;46;44;51;55;34;39;56;41;48;44;34;-;492
10;098;33;41;34;44;43;44;37;33;47;47;34;-;437
37;099;124;145;124;166;125;125;98;150;99;129;134;-;1419
37;100;101;71;79;77;88;86;79;81;93;83;68;-;906
28;101;69;73;98;69;89;81;58;101;73;93;94;-;898
30;104;43;38;49;35;43;38;48;44;40;55;49;-;482
26;105;626;596;660;643;595;636;657;616;570;606;632;-;6837
26;106;144;184;190;169;165;187;157;161;182;173;151;-;1863
38;107;105;86;102;81;78;83;126;117;116;136;122;-;1152
38;108;309;373;375;399;420;318;360;392;366;397;334;-;4043
38;109;54;42;60;51;77;68;73;62;55;67;55;-;664
30;110;535;596;673;566;611;598;663;620;615;673;574;-;6724
30;111;31;25;36;20;16;27;31;25;33;31;24;-;299
30;112;74;61;75;56;56;76;75;58;72;83;61;-;747
25;118;460;418;426;432;446;401;480;437;418;384;369;-;4671
35;119;114;125;150;133;152;148;136;135;135;174;158;-;1560
35;120;60;53;68;50;61;51;56;44;52;72;34;-;601
32;121;102;138;120;138;139;142;118;136;127;140;97;-;1397
32;122;51;51;49;43;61;51;30;48;48;46;43;-;521
