AISP;DP;JAN;FEV;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ;TOTAL
5;001;414;650;339;356;404;341;486;687;522;494;510;630;5833
5;004;1055;1186;1094;923;880;982;973;1231;1049;846;877;792;11888
5;005;1278;1758;1060;1138;1105;1002;1214;1750;1229;1184;1109;1170;14997
4;006;600;708;600;528;590;608;609;566;603;717;596;576;7301
5;007;224;317;213;167;204;203;184;182;192;197;199;196;2478
2;009;928;953;766;714;715;748;772;834;723;783;687;725;9348
2;010;654;764;714;704;693;696;685;795;698;728;658;733;8522
23;011;123;114;105;139;145;151;158;158;170;223;124;117;1727
19;012;1545;1285;916;891;813;738;801;1463;855;891;773;1029;12000
19;013;515;663;386;374;386;376;399;573;403;446;414;473;5408
23;014;1118;1888;675;808;681;601;708;1058;683;766;727;861;10574
23;015;386;378;338;293;297;315;296;356;296;302;288;280;3825
31;016;1187;1172;1167;1123;1107;1147;1043;1271;1229;1045;1163;1081;13735
4;017;811;713;803;779;731;687;653;690;683;689;720;659;8618
4;018;555;617;722;562;655;635;605;684;546;697;687;659;7624
6;019;688;740;726;700;657;743;758;673;624;680;651;751;8391
6;020;594;585;584;592;579;617;994;1270;615;707;623;641;8401
22;021;1188;1118;1399;1329;1326;1392;1418;1402;1356;1430;1525;1377;16260
16;022;741;787;835;762;832;850;821;919;816;865;799;765;9792
3;023;669;729;713;710;709;718;748;667;703;701;653;564;8284
3;024;532;491;478;512;561;494;533;537;549;527;543;469;6226
3;025;612;587;725;651;600;602;634;679;1169;860;836;843;8798
3;026;601;530;549;542;521;471;528;471;520;453;480;494;6160
41;027;998;1045;1103;980;1054;1051;1159;966;959;1178;1008;1019;12520
9;028;965;928;853;805;768;741;764;700;703;754;694;688;9363
9;029;1020;960;1001;914;912;1028;988;958;937;955;945;968;11586
9;030;524;556;564;482;532;552;505;485;517;492;544;520;6273
41;031;634;679;690;642;766;762;751;804;839;937;909;936;9349
