NMMUNIC,CODIBGE,Latitude,Longitude
Angra dos Reis,330010,-23.005804,-44.315791
Aperibé,330015,-21.625726,-42.102063
Araruama,330020,-22.863619,-42.333631
Areal,330022,-22.2318862,-43.1141413
Armação dos Búzios,330023,-22.7564299,-41.8890505
Arraial do Cabo,330025,-22.9657374,-42.0279869
Barra do Piraí,330030,-22.4720256,-43.8273373
Barra Mansa,330040,-22.5408519,-44.1772604
Belford Roxo,330045,-22.7622786,-43.3970283
Bom Jardim,330050,-22.1631542,-42.4257912
Bom Jesus do Itabapoana,330060,-21.145344,-41.6826186
Cabo Frio,330070,-22.8867507,-42.0262542
Cachoeiras de Macacu,330080,-22.4662996,-42.6527549
Cambuci,330090,-21.5734704,-41.9184067
Carapebus,330093,-22.1888948,-41.6617014
Comendador Levy Gasparian,330095,-22.0294433,-43.2059216
Campos dos Goytacazes,330100,-21.7626682,-41.3184501
Cantagalo,330110,-21.9802716,-42.3625761
Cardoso Moreira,330115,-21.48509,-41.616893
Carmo,330120,-21.9314519,-42.605043
Casimiro de Abreu,330130,-22.4836725,-42.2015431
Conceição de Macabu,330140,-22.0838675,-41.8722789
Cordeiro,330150,-22.027222,-42.3652391
Duas Barras,330160,-22.0541338,-42.5236356
Duque de Caxias,330170,-22.7862985,-43.3053106
Engenheiro Paulo de Frontin,330180,-22.549749,-43.6776274
Guapimirim,330185,-22.535199,-42.9899491
Iguaba Grande,330187,-22.8142407,-42.2066423
Itaboraí,330190,-22.7570025,-42.8643167
Itaguaí,330200,-22.8631923,-43.7779091
Italva,330205,-21.4285097,-41.6940704
Itaocara,330210,-21.6704101,-42.0792551
Itaperuna,330220,-21.2001578,-41.8803055
Itatiaia,330225,-22.4902027,-44.5679107
Japeri,330227,-22.6439978,-43.6606463
Laje do Muriaé,330230,-21.2091698,-42.1187769
Macaé,330240,-22.3836904,-41.7827891
Macuco,330245,-21.9844505,-42.2531991
Magé,330250,-22.6566022,-43.0398345
Mangaratiba,330260,-22.9598984,-44.0413146
Maricá,330270,-22.9339527,-42.8245961
Mendes,330280,-22.5254727,-43.73121
Mesquita,330285,-22.7819449,-43.4293183
Miguel Pereira,330290,-22.4577374,-43.4806912
Miracema,330300,-21.4153412,-42.1942339
Natividade,330310,-21.0333287,-41.9878239
Nilópolis,330320,-22.8098494,-43.4193916
Niterói,330330,-22.8858975,-43.1152211
Nova Friburgo,330340,-22.2887261,-42.5340796
Nova Iguaçu,330350,-22.7561319,-43.4607419
Paracambi,330360,-22.6083065,-43.7112547
Paraíba do Sul,330370,-22.1588862,-43.2904251
Paraty,330380,-23.2200542,-44.7204757
Paty do Alferes,330385,-22.4313914,-43.4289497
Petrópolis,330390,-22.5112638,-43.1779137
Pinheiral,330395,-22.5177053,-44.0025719
Piraí,330400,-22.6262971,-43.9058584
Porciúncula,330410,-20.9678604,-42.0410655
Porto Real,330411,-22.4179651,-44.2955901
Quatis,330412,-22.4083216,-44.2582153
Queimados,330414,-22.7106685,-43.5522256
Quissamã,330415,-22.1035956,-41.4696504
Resende,330420,-22.4709659,-44.4513347
Rio Bonito,330430,-22.7186089,-42.6279835
Rio Claro,330440,-22.7258886,-44.1343957
Rio das Flores,330450,-22.1788684,-43.5907233
Rio das Ostras,330452,-22.5272615,-41.9463785
Rio de Janeiro,330455,-22.9115742,-43.2053816
Santa Maria Madalena,330460,-21.9613802,-42.0076409
Santo Antônio de Pádua,330470,-21.5415319,-42.1835592
São Francisco de Itabapoana,330475,-21.4706831,-41.1095274
São Fidélis,330480,-21.6493783,-41.745717
São Gonçalo,330490,-22.825026,-43.049167
São João da Barra,330500,-21.6368446,-41.0484428
São João de Meriti,330510,-22.7907664,-43.3699364
São José de Ubá,330513,-21.3665596,-41.9514576
São José do Vale do Rio Preto,330515,-22.1784129,-42.9660207
São Pedro da Aldeia,330520,-22.8433599,-42.1030012
São Sebastião do Alto,330530,-21.9540434,-42.1313315
Sapucaia,330540,-21.9953615,-42.9146039
Saquarema,330550,-22.932382,-42.4866843
Seropédica,330555,-22.7530802,-43.7159011
Silva Jardim,330560,-22.6578882,-42.3965262
Sumidouro,330570,-22.0489564,-42.6765559
Tanguá,330575,-22.7428038,-42.7205994
Teresópolis,330580,-22.4169605,-42.9756016
Trajano de Moraes,330590,-22.0640027,-42.0601711
Três Rios,330600,-22.1170043,-43.2189459
Valença,330610,-22.2459149,-43.7068952
Varre-Sai,330615,-20.9280524,-41.8704877
Vassouras,330620,-22.4074571,-43.6613985
Volta Redonda,330630,-22.5077674,-44.0946129
